Artist,City,Venue,Capacity,Ticket Sale Estimation,Average Ticket Price,Production Cost Estimation,Total Attendees,Season,Genre,Supporting Artists,Popularity,ROI (%),Spotify Streams (North America),Spotify Streams (Europe),Spotify Streams (Asia),Spotify Streams (South America),Spotify Streams (Africa),Spotify Streams (Oceania)
Drake,Boston,Gillette Stadium,65878,64000,205,4700000,64000,Fall,Hip-Hop/Rap,"Belly, Roy Woods",96,61,81000000,51000000,41000000,31000000,12500000,10500000
Drake,Paris,Stade de France,81338,80000,200,4500000,80000,Winter,Hip-Hop/Rap,"Dave, Central Cee",100,75,95000000,65000000,55000000,45000000,20000000,17000000
Drake,Berlin,Olympiastadion,74649,73000,190,4300000,73000,Spring,Hip-Hop/Rap,"Luciano, RAF Camora",98,72,92000000,62000000,52000000,42000000,19000000,16000000
Drake,Amsterdam,Johan Cruijff Arena,55000,54000,180,4000000,54000,Summer,Hip-Hop/Rap,"Frenna, Lil Kleine",95,67,86000000,56000000,46000000,36000000,16500000,13500000
Drake,Dubai,Autism Rocks Arena,25000,24500,300,3500000,24500,Fall,Hip-Hop/Rap,"Nancy Ajram, Elissa",94,58,78000000,48000000,38000000,28000000,11000000,9000000
Drake,Johannesburg,FNB Stadium,94736,92000,180,6000000,92000,Winter,Hip-Hop/Rap,"Nasty C, AKA",99,80,98000000,68000000,58000000,48000000,22000000,19000000
Drake,Lagos,Teslim Balogun Stadium,25000,24500,250,3200000,24500,Spring,Hip-Hop/Rap,"Wizkid, Burna Boy",100,85,100000000,70000000,60000000,50000000,25000000,20000000
Drake,Sydney,Accor Stadium,83500,82000,210,5500000,82000,Summer,Hip-Hop/Rap,"The Kid LAROI, Bliss n Eso",98,73,93000000,63000000,53000000,43000000,19500000,16500000
Drake,Melbourne,Marvel Stadium,56000,55000,200,5000000,55000,Fall,Hip-Hop/Rap,"Baker Boy, Hilltop Hoods",96,70,91000000,61000000,51000000,41000000,18500000,15500000
Drake,Tokyo,Tokyo Dome,55000,54000,230,4800000,54000,Winter,Hip-Hop/Rap,"KOHH, JP THE WAVY",97,77,96000000,66000000,56000000,46000000,21000000,18000000
Drake,Sao Paulo,Allianz Parque,45000,44000,190,4200000,44000,Spring,Hip-Hop/Rap,"Ludmilla, Kevin o Chris",99,82,99000000,69000000,59000000,49000000,23000000,19500000
Martin Garrix,Amsterdam,Johan Cruijff Arena,55000,53000,90,2500000,53000,Summer,EDM,"Brooks, Julian Jordan",93,40,20000000,70000000,35000000,15000000,5000000,8000000
Martin Garrix,New York,Barclays Center,19000,18500,100,900000,18500,Fall,EDM,"Dimitri Vegas & Like Mike, Alesso",91,35,22000000,65000000,32000000,14000000,4500000,7500000
Martin Garrix,Sydney,Qudos Bank Arena,21000,20500,95,950000,20500,Winter,EDM,"Tiesto, Afrojack",90,32,21000000,60000000,30000000,13000000,4000000,7000000
Martin Garrix,Miami,FTX Arena,19500,19000,105,1100000,19000,Spring,EDM,"Zedd, Kygo",92,38,23000000,68000000,33000000,16000000,4800000,7800000
Martin Garrix,Las Vegas,XS Nightclub,1500,1450,150,300000,1450,Summer,EDM,"David Guetta, Steve Aoki",88,25,18000000,50000000,25000000,12000000,3500000,6000000
Martin Garrix,Ibiza,Ushuaïa,5000,4900,120,500000,4900,Fall,EDM,"Armin van Buuren, Hardwell",94,45,25000000,75000000,40000000,18000000,5500000,8500000
Martin Garrix,London,O2 Arena,20000,19800,110,1200000,19800,Winter,EDM,"Calvin Harris, Diplo",95,42,27000000,78000000,42000000,19000000,6000000,9000000
Martin Garrix,Paris,Accor Arena,18500,18000,115,1250000,18000,Spring,EDM,"Don Diablo, Oliver Heldens",89,30,19000000,55000000,28000000,14000000,4000000,6500000
Martin Garrix,Berlin,Mercedes-Benz Arena,17000,16500,105,1150000,16500,Summer,EDM,"W&W, Vini Vici",90,33,20000000,60000000,31000000,15000000,4500000,7000000
Martin Garrix,Madrid,Wizink Center,15500,15000,100,950000,15000,Fall,EDM,"Alok, Vintage Culture",87,28,17500000,52000000,27000000,13000000,3800000,6200000
Martin Garrix,Rome,Circo Massimo,50000,48000,85,2200000,48000,Winter,EDM,"Afrojack, Nicky Romero",96,50,30000000,85000000,45000000,22000000,7000000,9500000
Martin Garrix,Moscow,Olympiyskiy Stadium,35000,34000,95,1800000,34000,Spring,EDM,"Arty, Matisse & Sadko",85,27,16000000,48000000,24000000,11000000,3200000,5800000
Martin Garrix,Dubai,Media City Amphitheatre,12000,11500,130,800000,11500,Summer,EDM,"R3HAB, KSHMR",89,31,18500000,54000000,29000000,14000000,4200000,6800000
Martin Garrix,Shanghai,Mercedes-Benz Arena,18000,17500,110,1000000,17500,Fall,EDM,"Alan Walker, K-391",91,36,21000000,63000000,34000000,17000000,5000000,7500000
Martin Garrix,Tokyo,Saitama Super Arena,36000,35000,120,1500000,35000,Winter,EDM,"Don Diablo, Lucas & Steve",93,39,23000000,70000000,38000000,19000000,5800000,8200000
Martin Garrix,Sao Paulo,Allianz Parque,45000,43000,100,2000000,43000,Spring,EDM,"Alok, Vintage Culture",94,43,25000000,73000000,41000000,21000000,6500000,8800000
Martin Garrix,Mexico City,Foro Sol,65000,62000,95,2200000,62000,Summer,EDM,"Fedde Le Grand, Sunnery James & Ryan Marciano",92,41,24000000,71000000,39000000,20000000,6200000,8500000
Martin Garrix,Buenos Aires,Club GEBA,10000,9500,120,600000,9500,Fall,EDM,"Quintino, Mesto",86,29,17000000,51000000,26000000,13000000,3900000,6300000
Martin Garrix,Cape Town,GrandWest Arena,8000,7800,110,500000,7800,Winter,EDM,"Black Coffee, Euphonik",84,26,15000000,45000000,22000000,10000000,3000000,5500000
Martin Garrix,Sydney,Hordern Pavilion,5000,4800,140,400000,4800,Spring,EDM,"Timmy Trumpet, Will Sparks",88,30,18000000,53000000,28000000,14000000,4200000,6700000
